Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Steve Blake,GSW,GSW @ DEN,04/16/2014,2013-14,W,47,8,3,10,30.0,1,4,25.0,1,2,50.0,0,7,7,15,7,0,3,0,2
Klay Thompson,GSW,GSW @ DEN,04/16/2014,2013-14,W,8,8,3,5,60.0,2,4,50.0,0,0,-,0,1,1,1,0,0,0,0,10
Quincy Miller,DEN,DEN vs. GSW,04/16/2014,2013-14,L,23,6,2,6,33.3,0,3,0.0,2,2,100,1,6,7,1,0,1,1,5,0
Aaron Brooks,DEN,DEN vs. GSW,04/16/2014,2013-14,L,25,8,3,10,30.0,2,5,40.0,0,0,-,0,1,1,6,0,0,0,4,-6
Jan Vesely,DEN,DEN vs. GSW,04/16/2014,2013-14,L,14,4,2,2,100,0,0,-,0,0,-,0,3,3,0,1,0,3,3,-12
Marreese Speights,GSW,GSW @ DEN,04/16/2014,2013-14,W,31,11,5,15,33.3,0,0,-,1,2,50.0,3,3,6,3,1,1,3,6,2
Ognjen Kuzmic,GSW,GSW @ DEN,04/16/2014,2013-14,W,31,6,2,2,100,0,0,-,2,4,50.0,2,5,7,0,2,0,0,5,-9
Randy Foye,DEN,DEN vs. GSW,04/16/2014,2013-14,L,43,32,10,21,47.6,3,10,30.0,9,12,75.0,0,2,2,11,0,1,5,1,-4
Kenneth Faried,DEN,DEN vs. GSW,04/16/2014,2013-14,L,38,15,7,17,41.2,0,0,-,1,4,25.0,5,8,13,0,0,0,5,3,6
Draymond Green,GSW,GSW @ DEN,04/16/2014,2013-14,W,3,2,1,3,33.3,0,2,0.0,0,0,-,2,2,4,0,0,0,0,1,2
Wilson Chandler,DEN,DEN vs. GSW,04/16/2014,2013-14,L,31,6,2,5,40.0,0,2,0.0,2,2,100,1,3,4,2,2,0,2,3,4
Anthony Randolph,DEN,DEN vs. GSW,04/16/2014,2013-14,L,19,19,6,9,66.7,3,6,50.0,4,4,100,0,5,5,1,1,0,0,4,6
Timofey Mozgov,DEN,DEN vs. GSW,04/16/2014,2013-14,L,25,10,2,3,66.7,0,1,0.0,6,6,100,2,3,5,1,0,2,3,3,-9
Evan Fournier,DEN,DEN vs. GSW,04/16/2014,2013-14,L,23,12,3,11,27.3,1,7,14.3,5,5,100,0,2,2,1,0,0,0,2,-5
Harrison Barnes,GSW,GSW @ DEN,04/16/2014,2013-14,W,48,30,11,21,52.4,3,5,60.0,5,12,41.7,1,4,5,3,1,0,3,2,4
Jordan Crawford,GSW,GSW @ DEN,04/16/2014,2013-14,W,41,41,16,28,57.1,2,8,25.0,7,8,87.5,1,4,5,3,1,1,3,3,-3
Hilton Armstrong,GSW,GSW @ DEN,04/16/2014,2013-14,W,32,10,3,6,50.0,0,0,-,4,7,57.1,2,8,10,2,0,2,2,6,12
Gary Neal,CHA,CHA vs. CHI,04/16/2014,2013-14,W,20,5,2,8,25.0,1,3,33.3,0,0,-,0,4,4,3,2,0,1,2,-6
Kemba Walker,CHA,CHA vs. CHI,04/16/2014,2013-14,W,40,22,6,16,37.5,0,6,0.0,10,11,90.9,0,7,7,8,1,1,0,0,7
Kirk Hinrich,CHI,CHI @ CHA,04/16/2014,2013-14,L,31,11,4,8,50.0,3,5,60.0,0,0,-,0,1,1,6,1,0,1,6,-3
Jimmy Butler,CHI,CHI @ CHA,04/16/2014,2013-14,L,48,12,3,8,37.5,0,1,0.0,6,8,75.0,1,3,4,4,5,0,0,0,7
Nazr Mohammed,CHI,CHI @ CHA,04/16/2014,2013-14,L,6,2,1,3,33.3,0,0,-,0,0,-,0,2,2,0,0,0,0,0,3
Gerald Henderson,CHA,CHA vs. CHI,04/16/2014,2013-14,W,33,11,5,13,38.5,0,0,-,1,3,33.3,0,6,6,1,0,0,1,1,11
Joakim Noah,CHI,CHI @ CHA,04/16/2014,2013-14,L,42,14,7,16,43.8,0,0,-,0,0,-,1,12,13,6,1,2,2,4,-8
Bismack Biyombo,CHA,CHA vs. CHI,04/16/2014,2013-14,W,11,4,2,3,66.7,0,0,-,0,2,0.0,2,5,7,0,1,1,0,1,-4
Mike Dunleavy,CHI,CHI @ CHA,04/16/2014,2013-14,L,42,12,4,12,33.3,2,6,33.3,2,4,50.0,1,6,7,3,0,2,0,4,3
Tony Snell,CHI,CHI @ CHA,04/16/2014,2013-14,L,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-6
Josh McRoberts,CHA,CHA vs. CHI,04/16/2014,2013-14,W,35,7,3,8,37.5,1,6,16.7,0,0,-,1,4,5,7,1,1,1,3,2
Al Jefferson,CHA,CHA vs. CHI,04/16/2014,2013-14,W,42,10,4,14,28.6,0,1,0.0,2,4,50.0,6,12,18,3,1,2,2,1,9
Taj Gibson,CHI,CHI @ CHA,04/16/2014,2013-14,L,34,4,2,10,20.0,0,0,-,0,0,-,3,2,5,0,0,0,6,3,-15
Michael Kidd-Gilchrist,CHA,CHA vs. CHI,04/16/2014,2013-14,W,23,8,3,4,75.0,0,0,-,2,2,100,2,1,3,0,0,1,0,1,1
Cody Zeller,CHA,CHA vs. CHI,04/16/2014,2013-14,W,18,8,4,6,66.7,0,0,-,0,0,-,1,0,1,1,1,0,3,0,3
Chris Douglas-Roberts,CHA,CHA vs. CHI,04/16/2014,2013-14,W,30,13,4,10,40.0,2,3,66.7,3,4,75.0,0,1,1,0,1,1,1,3,4
D.J. Augustin,CHI,CHI @ CHA,04/16/2014,2013-14,L,36,17,6,16,37.5,3,9,33.3,2,3,66.7,0,1,1,2,0,0,2,3,-16
Carlos Boozer,CHI,CHI @ CHA,04/16/2014,2013-14,L,24,14,7,12,58.3,0,0,-,0,0,-,0,11,11,0,0,0,0,2,10
Luke Ridnour,CHA,CHA vs. CHI,04/16/2014,2013-14,W,13,3,1,3,33.3,1,2,50.0,0,0,-,0,1,1,0,0,0,0,2,-2
Austin Rivers,NOP,NOP vs. HOU,04/16/2014,2013-14,W,44,18,6,11,54.5,2,3,66.7,4,5,80.0,0,5,5,8,3,0,3,2,7
Brian Roberts,NOP,NOP vs. HOU,04/16/2014,2013-14,W,4,3,0,0,-,0,0,-,3,4,75.0,0,1,1,1,0,0,0,1,-2
Omri Casspi,HOU,HOU @ NOP,04/16/2014,2013-14,L,29,9,4,10,40.0,1,2,50.0,0,0,-,1,7,8,1,0,0,0,1,6
Dwight Howard,HOU,HOU @ NOP,04/16/2014,2013-14,L,26,7,1,5,20.0,0,1,0.0,5,7,71.4,0,4,4,4,0,3,3,3,1
Terrence Jones,HOU,HOU @ NOP,04/16/2014,2013-14,L,26,17,7,11,63.6,0,0,-,3,6,50.0,5,3,8,4,0,0,1,1,4
Al-Farouq Aminu,NOP,NOP vs. HOU,04/16/2014,2013-14,W,17,6,3,5,60.0,0,0,-,0,0,-,2,4,6,0,0,0,0,0,8
Darius Miller,NOP,NOP vs. HOU,04/16/2014,2013-14,W,34,9,4,7,57.1,1,1,100,0,0,-,2,1,3,1,2,0,0,1,4
Tyreke Evans,NOP,NOP vs. HOU,04/16/2014,2013-14,W,35,25,11,20,55.0,1,1,100,2,4,50.0,2,4,6,10,0,1,2,2,4
Luke Babbitt,NOP,NOP vs. HOU,04/16/2014,2013-14,W,17,8,3,10,30.0,1,3,33.3,1,2,50.0,2,6,8,0,1,0,1,0,-1
